crop,agronomist,region,phone,email,location
Tomatoes,Dr. John Omondi,Kakamega,0711223344,jomondi@ukulimasafi.co.ke,MMUST Agricultural Dept
Tomatoes,Sarah Hassan,Mombasa,0722334455,sarah.h@coastagri.com,Mtwapa Research Ctr
Tomatoes,Peter Anyang,Kisumu,0733445566,p.anyang@lakebasin.org,Kibos Road
Potatoes,James Njoroge,Nakuru,0744556677,j.njoroge@egerton.ac.ke,Egerton Uni
Potatoes,Alice Chebet,Eldoret,0755667788,a.chebet@uasin.gov.ke,Eldoret CBD
Wheat,David Wanyama,Kitale,0766778899,d.wanyama@transnzoia.go.ke,Kitale Museum Rd
Wheat,Grace Kira,Meru,0777889900,g.kira@merugreen.co.ke,Maua Road
Rice,Ahmed Abdi,Garissa,0788990011,a.abdi@northeastagri.org,Garissa Town
Rice,Fatuma Ali,Isiolo,0799001122,f.ali@isiolo.go.ke,Isiolo Market
Maize,Benson Njue,Embu,0700112233,b.njue@kalro.org,KALRO Embu
Maize,Catherine Wambui,Nyeri,0711223355,c.wambui@centralagri.com,Nyeri Town
Soybeans,Dr. Kamau,Thika,0722334466,kamau@jkuat.ac.ke,JKUAT Juja
Soybeans,Lucy Mwaura,Kiambu,0733445577,l.mwaura@kiambu.go.ke,Kiambu Rd
Carrots,Simon Kingori,Nyandarua,0744556688,s.kingori@kinangop.co.ke,Engineer Town
Carrots,Esther Maina,Laikipia,0755667799,e.maina@laikipia.go.ke,Nanyuki
Onions,Josphat Ekwam,Turkana,0766778800,j.ekwam@lodwar.co.ke,Lodwar
Onions,Mary Lonyangapuo,West Pokot,0777889911,m.lonyang@kapenguria.go.ke,Kapenguria
Beans,Kipkirui Langat,Bomet,0788990022,k.langat@bomet.go.ke,Bomet Green Stadium
Beans,Cherotich Rono,Kericho,0799001133,c.rono@tea-zone.co.ke,Kericho Town
